id;domain;priority;method;control;scenario;evidence;acceptance;initial_state;source;required_run;result;owner;executed_at;evidence_path;notes;bug_or_commit
INT-001;1. Integridade;P0;MANUAL;Identidade única da candidata;Registrar versão, branch, commit, nome do HTML, tamanho e SHA-256 antes de qualquer teste.;manifesto de identidade + hash independente;Todos os campos preenchidos e hash reproduzido por duas ferramentas.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-001/;;
INT-002;1. Integridade;P0;AUTO;Imutabilidade do artefato sob teste;Recalcular SHA-256 antes e depois da auditoria.;dois hashes com data/hora;"Hashes idênticos; qualquer diferença invalida os resultados.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-002/;;
INT-003;1. Integridade;P0;AUTO;Correspondência entre fonte e build;Gerar o HTML pelo processo oficial e comparar versão, módulos e manifesto.;log de build + inventário de módulos;Build termina sem erro e contém exatamente os módulos declarados.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-003/;;
INT-004;1. Integridade;P0;DEV;Proibição de edição direta em dist;Verificar histórico e diff para confirmar que alterações vieram de src/.;diff de Git + log de build;Nenhuma mudança funcional exclusiva em dist/.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-004/;;
INT-005;1. Integridade;P0;DIR;HTML autocontido;Abrir o arquivo sem servidor e sem rede.;vídeo de abertura offline + console;Jogo inicia e chega ao menu sem requisição externa obrigatória.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-005/;;
INT-006;1. Integridade;P0;DIR;Ausência de erro fatal no console;Percorrer fluxo completo do menu ao pós-jogo.;export do console;Zero uncaught exception, unhandled rejection ou erro que interrompa fluxo.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-006/;;
INT-007;1. Integridade;P0;AUTO;Consistência transacional da partida;Executar lote canônico completo e validar estado final.;JSON de auditoria por seed;100% das partidas em estado CONSISTENT.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-007/;;
INT-008;1. Integridade;P0;AUTO;Preservação das 876 partidas de referência;Repetir 578 formações, 98 estilos e 200 diversas.;relatório consolidado + sementes;"876/876 concluídas; nenhuma regressão de gate lógico.";BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-008/;;
INT-009;1. Integridade;P0;AUTO;Sincronia placar-eventos-estatísticas;Comparar cada gol e anulação entre placar, log, narração e estatística.;trilha de eventos por partida;Uma única contabilização por evento e totais finais iguais.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-009/;;
INT-010;1. Integridade;P0;AUTO;Sincronia posse-portador-bola;Amostrar estado em jogo corrido, reinício e disputa.;telemetria de posse e coordenadas;Nenhum estado impossível: dois portadores, bola controlada sem dono ou dono distante.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-010/;;
INT-011;1. Integridade;P0;DIR;Limpeza de estado entre partidas;Jogar partidas consecutivas sem recarregar a página.;vídeo + snapshot de variáveis;Sem herança de placar, eventos, VFX, posições ou temporizadores.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-011/;;
